AG98,AG22,AG23,SodaF,PotashF,Crushing,ETP,NaSil,MOR_kgf_mm2,WA_fraction,Shrinkage_pct
16.49,3.721,14.541,38.544,20.272,2.272,2.272,0.933,4.268,0.01015,10.23
16.263,2.997,13.33,42.827,17.494,3.46,2.933,0.697,5.9275,0.01234,11.56
17.224,3.055,13.049,38.569,20.012,4.008,3.377,0.705,6.1935,0.009615,11.32
18.631,3.209,12.299,40.477,18.641,2.969,2.906,0.868,4.7295,0.01223,10.8
18.288,3.531,11.694,38.474,20.491,3.171,3.04,1.311,6.282,0.009109,11.18
16.078,3.726,13.321,42.473,17.784,3.104,2.624,0.889,4.5275,0.008562,10.27
15,2.5,10,37,15,2,2,0.5,6.379,0.003249,11.63
20,4,15,43,22,3.5,3.1,1.5,5.16,0.002542,10.88
15.7,2.504,10.117,42.979,21.978,3.264,2.396,1.061,5.011,0.01202,11.3
19.794,3.924,14.996,37.331,16.334,3.392,3.098,1.13,5.633,0.00176,11.76
19.854,2.642,14.792,41.975,15.251,2.195,2.383,0.908,4.202,0.0071,10.54
19.669,3.763,10.543,42.802,15.432,3.321,3.023,1.447,6.532,0.00289,10.92
19.963,2.571,14.774,37.046,20.059,2.037,2.083,1.465,5.932,0.02303,11.69
19.298,2.942,10.152,41.383,21.509,2.032,2.107,0.578,5.289,0.0138,11.33
15.018,2.608,14.009,41.733,21.388,2.549,2.105,0.591,5.953,0.00649,10.14
17.613,3.608,10.006,42.982,19.071,2.768,2.802,1.15,6.316,0.00985,11.28
16.737,2.64,10.599,42.99,21.303,2.063,2.304,1.364,4.114,0.00229,10.17
19.153,2.551,11.404,42.203,17.681,3.477,2.036,1.496,4.991,0.01336,10.91
19.809,3.953,10.22,42.552,18.042,2.426,2.008,0.989,5.215,0.01543,10.97
16.903,2.592,14.885,42.988,16.087,2.33,2.744,1.471,4.121,0.01712,11.94
15.288,2.717,12.847,41.872,21.695,2.076,2.974,0.531,4.799,0.01607,11.11
19.897,2.535,11.001,39.879,21.333,2.71,2.025,0.621,5.963,0.02641,10.84
15.208,2.661,14.732,40.438,20.047,3.234,2.207,1.474,5.345,0.0136,11.82
16.254,3.252,10.448,42.379,21.682,3.394,2.081,0.511,4.458,0.00671,10.91
16.573,3.918,10.336,41.009,21.122,3.408,2.17,1.464,4.763,0.00792,11.85
19.489,3.03,12.245,38.383,21.001,2.03,2.346,1.476,5.306,0.0412,11.96
17.296,2.702,14.425,37.488,21.896,3.224,2.279,0.691,6.023,0.03362,10.11
19.544,3.817,10.812,37.299,21.979,3.453,2.087,1.011,5.112,0.00613,11.22
17.354,3.352,12.958,42.564,17,3.064,2.79,0.918,6.197,0.01202,10.18
17.354,3.352,12.958,40.064,19.5,3.064,2.79,0.918,5.784,0.01923,11.56
17.354,3.352,12.958,37.564,22,3.064,2.79,0.918,4.256,0.00821,10.13
16.662,2.652,10.32,42.938,21.901,2.354,2.298,0.875,3.972,0.02107,11.02
19.742,3.642,14.786,38.416,16.041,3.84,2.534,0.999,5.901,0.00908,10.39
15.696,2.836,14.485,37.252,21.792,3.388,3.093,1.458,6.159,0.00397,10.97
15.102,3.684,14.308,42.924,16.563,3.786,2.889,0.744,6.656,0.01505,11.98
19.938,3.815,10.423,42.822,16.143,2.718,2.738,1.403,4.985,0.0199,10.01
19.918,3.623,10.06,37.612,21.529,3.163,3.199,0.895,5.146,0.03241,10.16
18.2,2.719,13.9,40.638,19.712,2.114,2.063,0.653,5.369,0.01494,10.96
19.431,2.924,14.469,42.595,15.375,2.042,2.299,0.865,4.862,0.02832,10.59
19.941,2.544,11.283,39.699,18.231,3.896,3.342,1.064,4.511,0.03135,11.21
15.149,3.873,12.354,40.347,20.326,3.965,3.015,0.971,5.378,0.00982,10.58
